name,artists,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,year
Love Signal - Acoustic Ver.,Jeong Yu Jin,25,0.63,0.382,5.0,-7.519,1.0,0.0346,0.713,0.0,0.0979,0.509,135.411,204800.0,2021
"10,000 HOURS - 國際中文版",Jung Yong Hwa,50,0.64,0.41100000000000003,0.0,-5.475,0.0,0.0412,0.452,0.0,0.10800000000000001,0.6809999999999999,172.02599999999998,166320.0,2021
Love Sight,TOMORROW X TOGETHER,68,0.608,0.434,2.0,-6.077000000000001,1.0,0.0303,0.39299999999999996,0.0,0.12300000000000001,0.207,111.86,252253.0,2021
Be There For You,NCT DREAM,66,0.42700000000000005,0.4,1.0,-5.308,0.0,0.032,0.71,0.0,0.195,0.33799999999999997,175.87599999999998,223880.0,2021
Sleepless in Seoul (Feat. LEE SUHYUN),10cm,57,0.537,0.414,5.0,-6.454,1.0,0.0497,0.706,0.0,0.106,0.318,174.817,257453.0,2021
Autumn Breeze,Gummy,45,0.508,0.457,0.0,-7.482,0.0,0.0591,0.7559999999999999,0.0,0.142,0.38799999999999996,75.689,219813.0,2021
Bittersweet,CHOI TAE JOON,47,0.775,0.642,6.0,-4.227,0.0,0.0327,0.18600000000000003,0.0,0.14400000000000002,0.779,112.977,202160.0,2021
Full Bloom Duet (feat. Jung Young Eun),MAKTUB,24,0.48,0.298,1.0,-7.693,1.0,0.0332,0.78,0.0,0.0889,0.25,131.188,261907.0,2021
We are (Acoustic Ver.),Darin,41,0.563,0.1,0.0,-11.05,1.0,0.0333,0.9109999999999999,0.00066,0.10800000000000001,0.255,145.49200000000002,207656.0,2021
I Wish My Heart Would Reach You,U Sung Eun,39,0.337,0.484,9.0,-7.125,1.0,0.0345,0.809,0.0,0.0917,0.298,130.91,213987.0,2021
Lost Heart,YESUNG,46,0.455,0.8079999999999999,9.0,-4.513,1.0,0.028999999999999998,0.265,0.29,0.10300000000000001,0.175,159.998,261947.0,2021
Reason (Vocal by Kim Seonho),Epitone Project,47,0.639,0.449,10.0,-6.155,1.0,0.027999999999999997,0.8370000000000001,0.0,0.105,0.29100000000000004,74.92399999999999,217627.0,2021
We're Breaking Up,Punch,42,0.5670000000000001,0.456,1.0,-6.656000000000001,1.0,0.0407,0.838,0.0,0.0911,0.341,78.00399999999999,214750.0,2021
I'm In Love,Colde,52,0.614,0.33299999999999996,10.0,-8.883,1.0,0.0325,0.645,0.0,0.0819,0.6609999999999999,140.059,197000.0,2021
Because I am a woman,BEN,46,0.638,0.311,6.0,-7.24,0.0,0.0363,0.865,0.0,0.099,0.201,121.745,240773.0,2021
Bloom,Moonbit,31,0.5489999999999999,0.6459999999999999,7.0,-0.9590000000000001,1.0,0.0326,0.54,0.0,0.146,0.69,175.905,215053.0,2021
A guy like me - Live Version,Lim Changjung,15,0.43200000000000005,0.158,9.0,-10.497,1.0,0.0361,0.862,0.0,0.10300000000000001,0.23600000000000002,137.827,246905.0,2021
Thank you for letting me leave,Han Dong Geun,31,0.489,0.44799999999999995,2.0,-5.937,1.0,0.0304,0.6970000000000001,0.0,0.141,0.254,134.05700000000002,208813.0,2021
Don't cry,Jang joonghyuk,32,0.519,0.614,7.0,-4.025,1.0,0.0295,0.629,0.000322,0.10300000000000001,0.389,74.85600000000001,230423.0,2021
To. You,Nilo,34,0.488,0.5,3.0,-4.031000000000001,1.0,0.0334,0.779,0.0,0.141,0.35700000000000004,155.91299999999998,235347.0,2021
I will light your way (Prod. Cho Young Soo),Kassy,39,0.58,0.743,8.0,-3.053,1.0,0.0279,0.22399999999999998,0.0,0.12300000000000001,0.39399999999999996,104.98299999999999,209320.0,2021
Pandora,Han All,10,0.48700000000000004,0.452,9.0,-6.079,1.0,0.0367,0.845,0.0004,0.337,0.257,137.847,244194.0,2021
Heal You,Ha Hyunsang,48,0.5760000000000001,0.371,0.0,-7.687,0.0,0.0252,0.435,0.0016,0.107,0.114,93.965,210232.0,2021
I Confess,THE ADE,13,0.557,0.304,7.0,-7.13,1.0,0.0491,0.8240000000000001,0.0,0.11800000000000001,0.455,138.067,235472.0,2021
Nothing Without You,0back,10,0.591,0.34600000000000003,8.0,-9.369,1.0,0.0266,0.892,0.0,0.11800000000000001,0.295,100.027,206998.0,2021
Call me now,JI JIN SEOK,30,0.441,0.309,5.0,-6.63,1.0,0.0598,0.873,0.0,0.121,0.34700000000000003,179.702,233520.0,2021
No More Heartbreaks,Jeong Dong Won,19,0.36,0.508,4.0,-5.115,1.0,0.0327,0.429,0.0,0.0995,0.18,136.82299999999998,227293.0,2021
What I want,Kwon Jin Ah,25,0.45,0.276,6.0,-6.019,1.0,0.0499,0.856,0.0,0.11,0.386,75.11,238067.0,2021
Coffee,KYUHYUN,48,0.632,0.46299999999999997,2.0,-6.494,1.0,0.026000000000000002,0.655,1.26e-05,0.262,0.45399999999999996,96.065,222173.0,2021
Stay The Same,O.WHEN,22,0.491,0.433,2.0,-5.048,1.0,0.0307,0.581,0.0,0.10300000000000001,0.198,133.743,236947.0,2021
More Than Words,Sandeul,43,0.622,0.526,0.0,-7.95,1.0,0.024,0.6709999999999999,0.0,0.14,0.5670000000000001,102.007,243200.0,2021
A Letter For You,Kim Na Young,32,0.63,0.209,7.0,-12.844000000000001,1.0,0.0386,0.884,0.0,0.10800000000000001,0.16699999999999998,68.025,217293.0,2021
The Moon (Feat. TAEIL of NCT),Moon Sujin,59,0.498,0.46299999999999997,6.0,-7.775,0.0,0.0797,0.486,0.0,0.0942,0.32,179.55,162366.0,2021
Boy in time - HUI Solo,PENTAGON,45,0.385,0.255,11.0,-7.084,1.0,0.0345,0.8759999999999999,0.0,0.12300000000000001,0.361,129.007,218680.0,2021
"Come over (Bunny and Guys X YU SEUNGWOO, SOLE)",Yu Seung Woo,31,0.606,0.561,1.0,-5.749,1.0,0.0336,0.565,0.0,0.0891,0.425,93.0,206333.0,2021
Without You (With. HYNN),KIM JAE HWAN,34,0.44799999999999995,0.42,9.0,-5.334,1.0,0.0309,0.484,0.0,0.0951,0.321,133.06799999999998,261973.0,2021
"Just for today, Only you",Baek Ji Woong,12,0.413,0.41,0.0,-7.004,1.0,0.0339,0.772,0.0,0.106,0.27899999999999997,67.85,233387.0,2021
Remember Your Day,Han Dong Geun,32,0.441,0.289,5.0,-8.837,1.0,0.0309,0.9570000000000001,2.23e-05,0.0923,0.161,145.835,281055.0,2021
Waltz For You,Jung Yup,20,0.503,0.244,9.0,-9.342,1.0,0.0327,0.882,0.000138,0.121,0.24100000000000002,125.973,207320.0,2021
Within Flowing Time,SHY,22,0.39299999999999996,0.49200000000000005,2.0,-7.229,1.0,0.0444,0.7959999999999999,0.0,0.10400000000000001,0.499,135.43,221387.0,2021
I Wish,oceanfromtheblue,44,0.5479999999999999,0.364,2.0,-6.851,1.0,0.0281,0.7440000000000001,0.0,0.11,0.32899999999999996,109.777,242733.0,2021
What Should I Do,Onestar,24,0.322,0.456,0.0,-5.962000000000001,1.0,0.0306,0.688,0.0,0.134,0.19699999999999998,131.558,238667.0,2021
