danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.679,0.639,3,-3.627,0,0.0465,0.374,0.0,0.131,0.757,147.881,audio_features,24U7yuCeer29GCzI1j7ZRF,spotify:track:24U7yuCeer29GCzI1j7ZRF,https://api.spotify.com/v1/tracks/24U7yuCeer29GCzI1j7ZRF,https://api.spotify.com/v1/audio-analysis/24U7yuCeer29GCzI1j7ZRF,256240,4
0.489,0.65,0,-7.971,1,0.389,0.314,0.0,0.249,0.473,88.49,audio_features,6Ti6KZIbc2BV5kc8YjtbpA,spotify:track:6Ti6KZIbc2BV5kc8YjtbpA,https://api.spotify.com/v1/tracks/6Ti6KZIbc2BV5kc8YjtbpA,https://api.spotify.com/v1/audio-analysis/6Ti6KZIbc2BV5kc8YjtbpA,203772,4
0.732,0.704,7,-6.294,1,0.132,0.526,0.0,0.104,0.493,89.932,audio_features,2nRm7BbBcpVaInDBCag61K,spotify:track:2nRm7BbBcpVaInDBCag61K,https://api.spotify.com/v1/tracks/2nRm7BbBcpVaInDBCag61K,https://api.spotify.com/v1/audio-analysis/2nRm7BbBcpVaInDBCag61K,250758,4
0.364,0.505,1,-5.824,1,0.0295,0.625,0.0,0.115,0.206,133.34,audio_features,3bvvoPHZkdpXrXvocCUXms,spotify:track:3bvvoPHZkdpXrXvocCUXms,https://api.spotify.com/v1/tracks/3bvvoPHZkdpXrXvocCUXms,https://api.spotify.com/v1/audio-analysis/3bvvoPHZkdpXrXvocCUXms,236230,4
0.453,0.455,3,-6.931,1,0.0355,0.746,0.0,0.116,0.213,127.402,audio_features,4vx5owz9M72E9vEQqmB4ec,spotify:track:4vx5owz9M72E9vEQqmB4ec,https://api.spotify.com/v1/tracks/4vx5owz9M72E9vEQqmB4ec,https://api.spotify.com/v1/audio-analysis/4vx5owz9M72E9vEQqmB4ec,218857,4
0.458,0.617,5,-3.464,0,0.0331,0.0649,0.0,0.109,0.418,167.925,audio_features,71WZ7yFuwxmQz5jJUpvkGv,spotify:track:71WZ7yFuwxmQz5jJUpvkGv,https://api.spotify.com/v1/tracks/71WZ7yFuwxmQz5jJUpvkGv,https://api.spotify.com/v1/audio-analysis/71WZ7yFuwxmQz5jJUpvkGv,283160,4
0.435,0.344,8,-7.38,1,0.031,0.889,2.4e-06,0.0707,0.244,133.35,audio_features,1obDXbMHopdGEJGcjRMP8S,spotify:track:1obDXbMHopdGEJGcjRMP8S,https://api.spotify.com/v1/tracks/1obDXbMHopdGEJGcjRMP8S,https://api.spotify.com/v1/audio-analysis/1obDXbMHopdGEJGcjRMP8S,216579,4
0.438,0.525,4,-4.957,1,0.037,0.801,0.0,0.183,0.245,136.952,audio_features,2xwIoib4crHHiKOx882YM9,spotify:track:2xwIoib4crHHiKOx882YM9,https://api.spotify.com/v1/tracks/2xwIoib4crHHiKOx882YM9,https://api.spotify.com/v1/audio-analysis/2xwIoib4crHHiKOx882YM9,228635,4
0.388,0.323,5,-7.158,1,0.0348,0.851,2.03e-06,0.143,0.232,118.885,audio_features,06EMBzxDm2hueehobAlMtm,spotify:track:06EMBzxDm2hueehobAlMtm,https://api.spotify.com/v1/tracks/06EMBzxDm2hueehobAlMtm,https://api.spotify.com/v1/audio-analysis/06EMBzxDm2hueehobAlMtm,249242,4
0.609,0.706,7,-7.275,1,0.0852,0.0595,0.0,0.056,0.358,124.989,audio_features,6EY5igURAXBCEen56oKUif,spotify:track:6EY5igURAXBCEen56oKUif,https://api.spotify.com/v1/tracks/6EY5igURAXBCEen56oKUif,https://api.spotify.com/v1/audio-analysis/6EY5igURAXBCEen56oKUif,233099,4
0.66,0.784,8,-3.729,1,0.0514,0.018,0.0919,0.0844,0.692,161.84,audio_features,67bVDuhVNpGahHOJGsv8BQ,spotify:track:67bVDuhVNpGahHOJGsv8BQ,https://api.spotify.com/v1/tracks/67bVDuhVNpGahHOJGsv8BQ,https://api.spotify.com/v1/audio-analysis/67bVDuhVNpGahHOJGsv8BQ,234320,4
0.568,0.698,0,-6.618,1,0.0445,0.146,0.0,0.262,0.568,90.119,audio_features,7zgabC90KSPZZwNjfZeTqo,spotify:track:7zgabC90KSPZZwNjfZeTqo,https://api.spotify.com/v1/tracks/7zgabC90KSPZZwNjfZeTqo,https://api.spotify.com/v1/audio-analysis/7zgabC90KSPZZwNjfZeTqo,220358,4
0.527,0.338,11,-8.129,1,0.0365,0.871,1.55e-05,0.109,0.15,122.138,audio_features,6yszDy9yFogkgavFOhCGDR,spotify:track:6yszDy9yFogkgavFOhCGDR,https://api.spotify.com/v1/tracks/6yszDy9yFogkgavFOhCGDR,https://api.spotify.com/v1/audio-analysis/6yszDy9yFogkgavFOhCGDR,268387,4
0.382,0.372,6,-6.738,1,0.031,0.651,0.0,0.107,0.166,124.046,audio_features,1buL0JSmxQ3IQLgGjXH1Z3,spotify:track:1buL0JSmxQ3IQLgGjXH1Z3,https://api.spotify.com/v1/tracks/1buL0JSmxQ3IQLgGjXH1Z3,https://api.spotify.com/v1/audio-analysis/1buL0JSmxQ3IQLgGjXH1Z3,210800,4
0.535,0.449,7,-6.014,1,0.0272,0.845,0.0,0.126,0.301,139.724,audio_features,1Rlm9CnGxCGIoW5BXzE19T,spotify:track:1Rlm9CnGxCGIoW5BXzE19T,https://api.spotify.com/v1/tracks/1Rlm9CnGxCGIoW5BXzE19T,https://api.spotify.com/v1/audio-analysis/1Rlm9CnGxCGIoW5BXzE19T,186345,4
0.642,0.501,6,-6.643,1,0.0324,0.837,1.8e-05,0.0914,0.298,122.973,audio_features,12cDuwg8jJ4N7RokLnFWfQ,spotify:track:12cDuwg8jJ4N7RokLnFWfQ,https://api.spotify.com/v1/tracks/12cDuwg8jJ4N7RokLnFWfQ,https://api.spotify.com/v1/audio-analysis/12cDuwg8jJ4N7RokLnFWfQ,253173,4
