danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.541,0.238,3,-9.829,1,0.0281,0.899,0.0,0.113,0.159,84.008,audio_features,2aqbwnjV0esOdAtwFu3W0A,spotify:track:2aqbwnjV0esOdAtwFu3W0A,https://api.spotify.com/v1/tracks/2aqbwnjV0esOdAtwFu3W0A,https://api.spotify.com/v1/audio-analysis/2aqbwnjV0esOdAtwFu3W0A,250093,4
0.504,0.749,7,-4.794,1,0.0481,0.354,0.0,0.306,0.731,183.868,audio_features,1azK6D5Kscq8zAaBC11um8,spotify:track:1azK6D5Kscq8zAaBC11um8,https://api.spotify.com/v1/tracks/1azK6D5Kscq8zAaBC11um8,https://api.spotify.com/v1/audio-analysis/1azK6D5Kscq8zAaBC11um8,224453,4
0.728,0.62,0,-6.775,1,0.0299,0.25,0.0,0.117,0.765,118.981,audio_features,33Qa9FMlFCbWHGaJCcnpEt,spotify:track:33Qa9FMlFCbWHGaJCcnpEt,https://api.spotify.com/v1/tracks/33Qa9FMlFCbWHGaJCcnpEt,https://api.spotify.com/v1/audio-analysis/33Qa9FMlFCbWHGaJCcnpEt,231427,4
0.336,0.379,7,-6.269,1,0.0307,0.823,0.0,0.0904,0.332,138.183,audio_features,3EXTRoJNceOMipc9kAbbAR,spotify:track:3EXTRoJNceOMipc9kAbbAR,https://api.spotify.com/v1/tracks/3EXTRoJNceOMipc9kAbbAR,https://api.spotify.com/v1/audio-analysis/3EXTRoJNceOMipc9kAbbAR,271827,4
0.499,0.415,5,-10.175,1,0.036,0.047,0.0,0.0788,0.192,125.833,audio_features,24gRbsqYkIXQs25btDuLz3,spotify:track:24gRbsqYkIXQs25btDuLz3,https://api.spotify.com/v1/tracks/24gRbsqYkIXQs25btDuLz3,https://api.spotify.com/v1/audio-analysis/24gRbsqYkIXQs25btDuLz3,277093,4
0.673,0.635,7,-6.423,1,0.0252,0.345,0.0,0.149,0.799,92.985,audio_features,4S5HowHGG4NwfviCmPOEAn,spotify:track:4S5HowHGG4NwfviCmPOEAn,https://api.spotify.com/v1/tracks/4S5HowHGG4NwfviCmPOEAn,https://api.spotify.com/v1/audio-analysis/4S5HowHGG4NwfviCmPOEAn,254160,4
0.838,0.241,2,-10.654,1,0.0515,0.311,2.64e-05,0.116,0.205,135.012,audio_features,3vJ3x9mP1bqizsxYoAFZve,spotify:track:3vJ3x9mP1bqizsxYoAFZve,https://api.spotify.com/v1/tracks/3vJ3x9mP1bqizsxYoAFZve,https://api.spotify.com/v1/audio-analysis/3vJ3x9mP1bqizsxYoAFZve,179187,3
0.331,0.154,5,-13.105,1,0.0404,0.939,0.0,0.132,0.324,60.24,audio_features,03J994OB3TOI5DnX9u4dm1,spotify:track:03J994OB3TOI5DnX9u4dm1,https://api.spotify.com/v1/tracks/03J994OB3TOI5DnX9u4dm1,https://api.spotify.com/v1/audio-analysis/03J994OB3TOI5DnX9u4dm1,303093,4
0.454,0.395,1,-8.043,1,0.0292,0.343,0.0,0.0924,0.185,132.3,audio_features,5ISqjHine9lxqSDDV6isK1,spotify:track:5ISqjHine9lxqSDDV6isK1,https://api.spotify.com/v1/tracks/5ISqjHine9lxqSDDV6isK1,https://api.spotify.com/v1/audio-analysis/5ISqjHine9lxqSDDV6isK1,298347,4
0.637,0.477,1,-5.697,1,0.0289,0.341,0.0,0.0689,0.153,127.844,audio_features,04vnAtdX9oujCBmuho4A8R,spotify:track:04vnAtdX9oujCBmuho4A8R,https://api.spotify.com/v1/tracks/04vnAtdX9oujCBmuho4A8R,https://api.spotify.com/v1/audio-analysis/04vnAtdX9oujCBmuho4A8R,266160,4
