name,artists,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,year
Videocall,Andiez,14,0.797,0.92,1,-5.654,0,0.0875,0.0412,0.0,0.077,0.22,120.065,203914,2018
Con Gái Rượu,B Ray,34,0.7879999999999999,0.605,10,-7.697,0,0.447,0.8140000000000001,2.37e-05,0.29600000000000004,0.486,84.124,246192,2020
B.S.N.L 3,B Ray,36,0.937,0.53,11,-8.609,0,0.304,0.841,0.0,0.113,0.7120000000000001,130.124,216085,2018
Vẫn Nhớ,Soobin Hoang Son,47,0.7290000000000001,0.494,7,-8.318,0,0.0284,0.675,2.08e-05,0.187,0.14300000000000002,95.04,191586,2020
Em Không Tồn Tại,Soobin Hoang Son,24,0.664,0.603,9,-8.007,0,0.0333,0.609,2.34e-06,0.34600000000000003,0.168,112.977,259855,2019
CHƠI,MANBO,7,0.9329999999999999,0.631,2,-5.5489999999999995,1,0.158,0.0755,0.0,0.141,0.326,102.98200000000001,181165,2020
Phải Là Yêu,MANBO,37,0.917,0.7709999999999999,2,-6.087000000000001,0,0.0718,0.34299999999999997,0.0,0.185,0.965,100.01,224200,2020
GERDNANG FREESTYLE 2,HURRYKNG,31,0.878,0.488,11,-9.126,1,0.33399999999999996,0.0108,0.000297,0.111,0.436,150.02200000000002,189800,2020
Rocket,MANBO,23,0.93,0.7879999999999999,0,-7.647,1,0.33799999999999997,0.17300000000000001,0.000286,0.12300000000000001,0.272,140.036,207250,2020
Hướng Dương,HIEUTHUHAI,33,0.777,0.47,1,-9.642000000000001,0,0.0278,0.9159999999999999,0.166,0.125,0.419,107.97200000000001,178333,2020
Yeu Don Phuong,Only C,0,0.716,0.74,2,-4.127,1,0.0318,0.254,9.95e-06,0.11199999999999999,0.43799999999999994,150.006,268800,2019
Sirimiri201,Seachains,12,0.851,0.419,10,-10.085,0,0.1,0.0418,0.0281,0.10099999999999999,0.47,147.987,215895,2019
Falling Down,Seachains,18,0.77,0.522,10,-11.231,0,0.0826,0.322,0.0338,0.12,0.139,99.001,186667,2020
